Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:08-09-2024 21:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
392,,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",65.00
393,,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",74.00
394,,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",47.00
395,,,"Mansarovar Sector-12, Jaipur - RSPCB",58.00
396,,,"Police Commissionerate, Jaipur - RSPCB",45.00
397,,,"RIICO Sitapura, Jaipur - RSPCB",56.00
398,,,"Sector-2 Murlipura, Jaipur - RSPCB",23.00
399,,,"Shastri Nagar, Jaipur - RSPCB",64.00
400,,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",72.00
401,,Jalore,"Mudtra Sili, Jalore - RSPCB",40.00
402,,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",46.00
403,,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",45.00
404,,Jodhpur,"Collectorate, Jodhpur - RSPCB",51.00
405,,,"Digari Kalan, Jodhpur - RSPCB",54.00
406,,,"Jhalamand, Jodhpur - RSPCB",50.00
407,,,"Mandor, Jodhpur - RSPCB",57.00
408,,,"Samrat Ashok Udhyan, Jodhpur - RSPCB",47.00
409,,Karauli,"Satyawati Vihar, Karauli - RSPCB",46.00
410,,Kota,"Dhanmandi, Kota - RSPCB",44.00
411,,,"Nayapura, Kota - RSPCB",41.00
412,,,"Shrinath Puram, Kota - RSPCB",75.00
413,,Nagaur,"Karni Colony, Nagaur - RSPCB",72.00
414,,Pali,"Indira Colony Vistar, Pali - RSPCB",54.00
415,,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",37.00
416,,Rajsamand,"Dhoinda, Rajsamand - RSPCB",54.00
417,,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",47.00
418,,Sikar,"Radhakishan Pura, Sikar - RSPCB",48.00
419,,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",Insufficient data available in last 24 hours.
420,,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",206.00
421,,Tonk,"Shastri Nagar, Tonk - RSPCB",29.00
422,,Udaipur,"Ashok Nagar, Udaipur - RSPCB",59.00
423,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",34.00
424,Tamil Nadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB",Insufficient data available in last 24 hours.
425,,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",Insufficient data available in last 24 hours.
426,,Chennai,"Alandur Bus Depot, Chennai - CPCB",20.00
427,,,"Arumbakkam, Chennai - TNPCB",50.00
428,,,"Gandhi Nagar_Ennore, Chennai - TNPCB",Insufficient data available in last 24 hours.
429,,,"Kodungaiyur, Chennai - TNPCB",56.00
430,,,"Manali Village, Chennai - TNPCB",54.00
431,,,"Manali, Chennai - CPCB",23.00
432,,,"Perungudi, Chennai - TNPCB",57.00
433,,,"Royapuram, Chennai - TNPCB",Insufficient data available in last 24 hours.
434,,,"Velachery Res. Area, Chennai - CPCB",61.00
435,,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",57.00
436,,,"SIDCO Kurichi, Coimbatore - TNPCB",57.00
437,,Cuddalore,"Kudikadu, Cuddalore - TNPCB",32.00
438,,,"Semmandalam, Cuddalore - TNPCB",35.00
439,,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",38.00
440,,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",67.00
441,,Hosur,"SIPCOT Phase-1, Hosur - TNPCB",Insufficient data available in last 24 hours.
442,,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",44.00
443,,Ooty,"Bombay Castel, Ooty - TNPCB",Insufficient data available in last 24 hours.
444,,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB",24.00
445,,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",32.00
446,,Salem,"Sona College of Technology, Salem - TNPCB",52.00
447,,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",45.00
448,,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",Insufficient data available in last 24 hours.
449,,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",29.00
450,,Tirupur,"Kumaran College, Tirupur - TNPCB",38.00
451,,Vellore,"Vasanthapuram, Vellore - TNPCB",Insufficient data available in last 24 hours.
452,,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB",27.00
453,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",38.00
454,,,"Central University, Hyderabad - TSPCB",20.00
455,,,"ECIL Kapra, Hyderabad - TSPCB",69.00
456,,,"ICRISAT Patancheru, Hyderabad - TSPCB",26.00
457,,,"IDA Pashamylaram, Hyderabad - TSPCB",43.00
458,,,"IITH Kandi, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
459,,,"Kokapet, Hyderabad - TSPCB",64.00
460,,,"Kompally Municipal Office, Hyderabad - TSPCB",60.00
461,,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",76.00
462,,,"New Malakpet, Hyderabad - TSPCB",73.00
463,,,"Ramachandrapuram, Hyderabad - TSPCB",70.00
464,,,"Sanathnagar, Hyderabad - TSPCB",59.00
465,,,"Somajiguda, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
466,,,"Zoo Park, Hyderabad - TSPCB",39.00
467,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",56.00
468,,,"Kunjaban, Agartala - Tripura SPCB",Insufficient data available in last 24 hours.
469,Uttar Pradesh,Agra,"Manoharpur, Agra - UPPCB",22.00
470,,,"Rohta, Agra - UPPCB",21.00
471,,,"Sanjay Palace, Agra - UPPCB",72.00
472,,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",19.00
473,,,"Shahjahan Garden, Agra - UPPCB",Insufficient data available in last 24 hours.
474,,,"Shastripuram, Agra - UPPCB",30.00
475,,Baghpat,"New Collectorate, Baghpat - UPPCB",Insufficient data available in last 24 hours.
476,,,"Sardar Patel Inter College, Baghpat - UPPCB",77.00
477,,Bareilly,"Civil Lines, Bareilly - UPPCB",28.00
478,,,"Rajendra Nagar, Bareilly - UPPCB",63.00
479,,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",68.00
480,,Firozabad,"Nagla Bhau, Firozabad - UPPCB",43.00
481,,,"Vibhab Nagar, Firozabad - UPPCB",41.00
482,,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",118.00
483,,,"Loni, Ghaziabad - UPPCB",135.00
484,,,"Sanjay Nagar, Ghaziabad - UPPCB",91.00
485,,,"Vasundhara, Ghaziabad - UPPCB",134.00
486,,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",61.00
487,,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",115.00
488,,,"Knowledge Park - V, Greater Noida - UPPCB",156.00
489,,Hapur,"Anand Vihar, Hapur - UPPCB",68.00
490,,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",45.00
491,,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",73.00
492,,,"IITK, Kanpur - IITK",Insufficient data available in last 24 hours.
493,,,"NSI Kalyanpur, Kanpur - UPPCB",78.00
494,,,"Nehru Nagar, Kanpur - UPPCB",78.00
495,,Khurja,"Kalindi Kunj, Khurja - UPPCB",98.00
496,,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",65.00
497,,,"Gomti Nagar, Lucknow - UPPCB",94.00
498,,,"Kendriya Vidyalaya, Lucknow - CPCB",45.00
499,,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",46.00
500,,,"Lalbagh, Lucknow - CPCB",86.00
501,,,"Talkatora District Industries Center, Lucknow - CPCB",68.00
502,,Meerut,"Ganga Nagar, Meerut - UPPCB",60.00
503,,,"Jai Bhim Nagar, Meerut - UPPCB",74.00
504,,,"Pallavpuram Phase 2, Meerut - UPPCB",83.00
505,,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",42.00
506,,,"Eco Herbal Park, Moradabad - UPPCB",48.00
507,,,"Employment Office, Moradabad - UPPCB",Insufficient data available in last 24 hours.
508,,,"Jigar Colony, Moradabad - UPPCB",44.00
509,,,"Kashiram Nagar, Moradabad - UPPCB",Insufficient data available in last 24 hours.
510,,,"Lajpat Nagar, Moradabad - UPPCB",Insufficient data available in last 24 hours.
511,,,"Transport Nagar, Moradabad - UPPCB",42.00
512,,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",Insufficient data available in last 24 hours.
513,,Noida,"Sector - 125, Noida - UPPCB",104.00
514,,,"Sector - 62, Noida - IMD",104.00
515,,,"Sector-1, Noida - UPPCB",167.00
516,,,"Sector-116, Noida - UPPCB",103.00
517,,Prayagraj,"Jhunsi, Prayagraj - UPPCB",57.00
518,,,"Motilal Nehru NIT, Prayagraj - UPPCB",42.00
519,,,"Nagar Nigam, Prayagraj - UPPCB",63.00
520,,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",87.00
521,,,"Bhelupur, Varanasi - UPPCB",98.00
522,,,"IESD Banaras Hindu University, Varanasi - UPPCB",68.00
523,,,"Maldahiya, Varanasi - UPPCB",89.00
524,,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",32.00
525,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",47.00
526,,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",66.00
527,,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",32.00
528,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",68.00
529,,,"Evelyn Lodge, Asansol - WBPCB",51.00
530,,,"Mahabir Colliery, Asansol - WBPCB",74.00
531,,,"Trivenidevi Bhalotia College, Asansol - WBPCB",68.00
532,,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",42.00
533,,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",48.00
534,,,"PCBL Residential Complex, Durgapur - WBPCB",77.00
535,,,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",51.00
536,,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",39.00
537,,Howrah,"Belur Math, Howrah - WBPCB",37.00
538,,,"Botanical Garden, Howrah - WBPCB",43.00
539,,,"Ghusuri, Howrah - WBPCB",46.00
540,,,"Padmapukur, Howrah - WBPCB",47.00
541,,Kolkata,"Ballygunge, Kolkata - WBPCB",32.00
542,,,"Bidhannagar, Kolkata - WBPCB",40.00
543,,,"Fort William, Kolkata - WBPCB",39.00
544,,,"Jadavpur, Kolkata - WBPCB",34.00
545,,,"Rabindra Bharati University, Kolkata - WBPCB",164.00
546,,,"Rabindra Sarobar, Kolkata - WBPCB",26.00
547,,,"Victoria, Kolkata - WBPCB",64.00
548,,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",46.00
